Strength,distance,distance2
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-7,0.019849309,0.036307805
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-8,0.022271291,0.039810717
-7,0.019849309,0.036307805
-7,0.019849309,0.036307805
